request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_180,0.00,not_affordable,not_recommended,none,,none,INR 66500: no eligible plan certified by 2026-09-02 while protecting minimum 37300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_181,122.63,not_affordable,not_recommended,none,,none,USD 5059.2: no eligible plan certified by 2024-04-07 while protecting minimum 2000 over 90 days.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,ZAR 65714 via full_payment; payments finish 2025-08-05; minimum 31100 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_183,22890187.43,not_affordable,not_recommended,none,2026-05-15,none,IDR 26866000: no eligible plan certified by 2026-06-18 while protecting minimum 11878300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_184,603.15,not_affordable,not_recommended,none,,none,INR 251900: no eligible plan certified by 2024-07-30 while protecting minimum 110800 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_185,265.27,not_affordable,not_recommended,none,,none,EUR 1257.3: no eligible plan certified by 2026-01-15 while protecting minimum 1300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_186,0.00,not_affordable,not_recommended,none,,none,ZAR 26554: no eligible plan certified by 2026-03-15 while protecting minimum 22000 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_187,0.00,not_affordable,not_recommended,none,,none,INR 187500: no eligible plan certified by 2024-11-15 while protecting minimum 128300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_188,84.31,not_affordable,not_recommended,none,,none,EUR 2464: no eligible plan certified by 2025-03-04 while protecting minimum 900 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,EUR 488.4 via full_payment; payments finish 2026-07-04; minimum 400 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_190,474.76,affordable_later,wait,2025-02-15:2557.5,2025-02-15,none,EUR 2557.5 via wait; payments finish 2025-02-15; minimum 1600 protected over 90 days.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,EUR 664.4 via full_payment; payments finish 2025-05-03; minimum 500 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_192,49.58,not_affordable,not_recommended,none,,none,USD 2046: no eligible plan certified by 2026-05-11 while protecting minimum 1000 over 90 days.
request_193,0.00,not_affordable,not_recommended,none,,none,EUR 1212.2: no eligible plan certified by 2024-05-28 while protecting minimum 1000 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_194,0.00,not_affordable,not_recommended,none,,none,INR 132800: no eligible plan certified by 2025-10-23 while protecting minimum 113600 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_195,0.00,not_affordable,not_recommended,none,,none,EUR 1170.4: no eligible plan certified by 2026-03-11 while protecting minimum 700 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,EUR 762.3 via full_payment; payments finish 2024-06-03; minimum 500 protected over 90 days.
request_197,0.00,not_affordable,not_recommended,none,,none,IDR 50939000: no eligible plan certified by 2026-01-21 while protecting minimum 26245900 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,INR 185800 via full_payment; payments finish 2026-07-07; minimum 124300 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,IDR 23674000 via installments; payments finish 2024-11-08; minimum 25359500 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,IDR 21717000 via full_payment; payments finish 2025-02-06; minimum 20114600 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_201,21958933.32,not_affordable,not_recommended,none,,none,IDR 23997000: no eligible plan certified by 2026-05-16 while protecting minimum 17304500 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,INR 123900 via full_payment; payments finish 2024-12-05; minimum 147800 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_203,856.94,not_affordable,not_recommended,none,,none,EUR 1442.1: no eligible plan certified by 2025-07-08 while protecting minimum 1400 over 90 days.
request_204,0.00,not_affordable,not_recommended,none,,none,EUR 588.74: no eligible plan certified by 2026-01-31 while protecting minimum 1300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,IDR 10621000 via full_payment; payments finish 2024-03-06; minimum 13994300 protected over 90 days.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,EUR 1404.7 via installments; payments finish 2025-09-28; minimum 900 protected over 90 days.
request_207,4462.94,affordable_later,wait,2026-07-15:11830,2026-07-15,none,ZAR 11830 via wait; payments finish 2026-07-15; minimum 13600 protected over 90 days.
request_208,2909189.61,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,IDR 4413000 via wait; payments finish 2024-06-15; minimum 10470700 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_209,972.18,not_affordable,not_recommended,none,,none,ZAR 56914: no eligible plan certified by 2025-11-25 while protecting minimum 18400 over 90 days.
request_210,708.41,affordable_with_plan,partial_payment,2026-04-06:708.41|2026-04-15:651.61,2026-04-15,none,USD 1360.02 via partial_payment; payments finish 2026-04-15; minimum 2000 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_211,245.03,affordable_later,wait,2024-11-15:1788.6,2024-11-15,none,EUR 1788.6 via wait; payments finish 2024-11-15; minimum 1500 protected over 90 days.
request_212,0.00,not_affordable,not_recommended,none,,none,IDR 71934000: no eligible plan certified by 2025-02-28 while protecting minimum 29579800 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_213,2228.46,not_affordable,not_recommended,none,,none,USD 3362.4: no eligible plan certified by 2026-03-22 while protecting minimum 2100 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_214,34895.71,affordable_with_plan,partial_payment,2024-12-04:34895.71|2025-01-15:34854.29,2025-01-15,none,INR 69750 via partial_payment; payments finish 2025-01-15; minimum 174900 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_215,26837.07,not_affordable,not_recommended,none,,none,ZAR 29986: no eligible plan certified by 2025-07-10 while protecting minimum 15700 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_216,442.27,not_affordable,not_recommended,none,,none,USD 3332.4: no eligible plan certified by 2026-09-15 while protecting minimum 1800 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_217,18087.52,not_affordable,not_recommended,none,2024-05-15,none,ZAR 37180: no eligible plan certified by 2024-05-21 while protecting minimum 26800 over 90 days.
request_218,22812793.30,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,IDR 61142000 via installments; payments finish 2025-10-02; minimum 34477200 protected over 90 days.
request_219,0.00,not_affordable,not_recommended,none,,none,EUR 1673.1: no eligible plan certified by 2026-06-13 while protecting minimum 1100 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_220,0.00,not_affordable,not_recommended,none,,none,EUR 3118.5: no eligible plan certified by 2024-07-03 while protecting minimum 1100 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,INR 109800 via full_payment; payments finish 2025-11-03; minimum 81500 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_222,29867.72,not_affordable,not_recommended,none,,none,ZAR 34078: no eligible plan certified by 2026-03-10 while protecting minimum 27300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,EUR 898.7 via full_payment; payments finish 2024-09-07; minimum 800 protected over 90 days.
request_224,8475491.72,affordable_with_plan,partial_payment,2025-02-04:8475491.72|2025-02-15:1851508.28,2025-02-15,none,IDR 10327000 via partial_payment; payments finish 2025-02-15; minimum 22187600 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_225,8912182.50,not_affordable,not_recommended,none,2026-09-15,none,IDR 22059000: no eligible plan certified by 2026-09-21 while protecting minimum 17670700 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,INR 157000 via full_payment; payments finish 2024-12-03; minimum 209400 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_227,5783.47,not_affordable,not_recommended,none,,none,INR 259700: no eligible plan certified by 2025-06-20 while protecting minimum 62900 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_228,0.00,not_affordable,not_recommended,none,,none,IDR 63327000: no eligible plan certified by 2026-04-30 while protecting minimum 26191200 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_229,375.08,not_affordable,not_recommended,none,2024-05-15,none,EUR 1526.8: no eligible plan certified by 2024-05-23 while protecting minimum 1000 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,EUR 3537.6 via full_payment; payments finish 2025-08-06; minimum 2000 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_231,30482.81,not_affordable,not_recommended,none,2026-03-15,none,ZAR 35706: no eligible plan certified by 2026-03-17 while protecting minimum 24300 over 90 days.
request_232,0.00,not_affordable,not_recommended,none,,none,EUR 1970.1: no eligible plan certified by 2024-08-15 while protecting minimum 2400 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_233,0.00,not_affordable,not_recommended,none,,none,IDR 6241000: no eligible plan certified by 2025-12-17 while protecting minimum 10365700 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_234,175.40,affordable_later,wait,2026-09-15:1213.3,2026-09-15,none,EUR 1213.3 via wait; payments finish 2026-09-15; minimum 700 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,USD 967.2 via full_payment; payments finish 2024-09-06; minimum 700 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_236,4829885.00,not_affordable,not_recommended,none,,none,IDR 52383000: no eligible plan certified by 2025-02-23 while protecting minimum 16768600 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_237,19806633.25,not_affordable,not_recommended,none,,none,IDR 23826000: no eligible plan certified by 2026-05-20 while protecting minimum 22431500 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_238,633.56,not_affordable,not_recommended,none,2025-02-15,none,USD 663.6: no eligible plan certified by 2025-02-16 while protecting minimum 700 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_239,613.00,affordable_later,wait,2025-05-15:642,2025-05-15,none,USD 642 via wait; payments finish 2025-05-15; minimum 600 protected over 90 days.
request_240,0.00,not_affordable,not_recommended,none,,none,INR 101200: no eligible plan certified by 2026-03-20 while protecting minimum 52800 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_241,21052000,not_affordable,not_recommended,none,2024-03-03,none,IDR 21052000: no eligible plan certified by 2024-05-25 while protecting minimum 19252000 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_242,0.00,not_affordable,not_recommended,none,,none,EUR 1966.8: no eligible plan certified by 2025-08-25 while protecting minimum 600 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,ZAR 17468 via full_payment; payments finish 2026-07-07; minimum 19900 protected over 90 days.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,ZAR 49918 via full_payment; payments finish 2024-06-04; minimum 45900 protected over 90 days.
request_245,22074.53,affordable_later,wait,2026-01-15:128500,2026-01-15,none,INR 128500 via wait; payments finish 2026-01-15; minimum 94600 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_246,64086,not_affordable,not_recommended,none,2026-04-03,none,ZAR 64086: no eligible plan certified by 2026-06-02 while protecting minimum 39300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_247,0.00,not_affordable,not_recommended,none,,none,EUR 1059.3: no eligible plan certified by 2024-11-08 while protecting minimum 1300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_248,326.33,not_affordable,not_recommended,none,,none,USD 1965.6: no eligible plan certified by 2025-04-28 while protecting minimum 1300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_249,0.00,not_affordable,not_recommended,none,,none,USD 643.2: no eligible plan certified by 2026-03-15 while protecting minimum 600 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_250,0.00,not_affordable,not_recommended,none,,none,ZAR 124278: no eligible plan certified by 2025-01-18 while protecting minimum 35300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_251,76.01,not_affordable,not_recommended,none,,none,EUR 1513.6: no eligible plan certified by 2025-06-06 while protecting minimum 1300 over 90 days.
request_252,3951342.32,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,IDR 28082000 via wait; payments finish 2026-09-15; minimum 15152200 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_253,1350.38,not_affordable,not_recommended,none,2024-05-15,none,EUR 2840.2: no eligible plan certified by 2024-06-01 while protecting minimum 2300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_254,452.68,affordable_later,wait,2025-10-15:3535.2,2025-10-15,none,USD 3535.2 via wait; payments finish 2025-10-15; minimum 2500 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_255,0.00,not_affordable,not_recommended,none,,none,IDR 3345000: no eligible plan certified by 2026-06-15 while protecting minimum 9813900 over 90 days.
request_256,0.00,not_affordable,not_recommended,none,,none,INR 218700: no eligible plan certified by 2024-08-19 while protecting minimum 168600 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_257,315.44,not_affordable,not_recommended,none,,none,USD 1352.4: no eligible plan certified by 2026-01-15 while protecting minimum 1600 over 90 days.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,USD 1113.6 via full_payment; payments finish 2026-01-07; minimum 500 protected over 90 days.
request_259,179.74,affordable_later,wait,2024-11-15:935,2024-11-15,none,EUR 935 via wait; payments finish 2024-11-15; minimum 600 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_260,5582893.33,not_affordable,not_recommended,none,,none,IDR 52079000: no eligible plan certified by 2025-04-18 while protecting minimum 20727700 over 90 days.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,EUR 1830.4 via full_payment; payments finish 2026-07-03; minimum 1500 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_262,7688905.81,not_affordable,not_recommended,none,2025-02-15,none,IDR 9236000: no eligible plan certified by 2025-01-24 while protecting minimum 31018500 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_263,5562.73,not_affordable,not_recommended,none,,none,ZAR 51546: no eligible plan certified by 2025-06-15 while protecting minimum 24100 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_264,18393.60,affordable_later,wait,2026-06-15:111300,2026-06-15,none,INR 111300 via wait; payments finish 2026-06-15; minimum 59500 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_265,0.00,not_affordable,not_recommended,none,,none,INR 45970: no eligible plan certified by 2024-03-21 while protecting minimum 189700 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_266,726.50,not_affordable,not_recommended,none,2025-10-15,none,EUR 935: no eligible plan certified by 2025-10-03 while protecting minimum 900 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_267,1584.89,not_affordable,not_recommended,none,2026-02-15,none,EUR 1925: no eligible plan certified by 2026-03-17 while protecting minimum 1500 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_268,1015.36,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,EUR 2426.6 via installments; payments finish 2024-08-15; minimum 1400 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_269,0.00,not_affordable,not_recommended,none,,none,ZAR 15490: no eligible plan certified by 2026-01-02 while protecting minimum 23100 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_270,107.92,not_affordable,not_recommended,none,,none,USD 3028.8: no eligible plan certified by 2026-08-30 while protecting minimum 1400 over 90 days.
request_271,14453.45,affordable_later,wait,2024-11-15:91300,2024-11-15,none,INR 91300 via wait; payments finish 2024-11-15; minimum 58200 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_272,5164197.69,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,IDR 13585000 via installments; payments finish 2025-04-09; minimum 7508600 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_273,8650549.79,affordable_with_plan,partial_payment,2026-04-07:8650549.79|2026-04-15:7210450.21,2026-04-15,none,IDR 15861000 via partial_payment; payments finish 2026-04-15; minimum 18774600 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_274,2063.41,not_affordable,not_recommended,none,2025-02-15,none,EUR 2713.7: no eligible plan certified by 2025-02-11 while protecting minimum 1800 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,IDR 15884000 via full_payment; payments finish 2025-05-06; minimum 12760100 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
